transaction_id,transaction_date,settlement_date,settlement_days,customer_id,merchant_id,merchant_name,region,country,category,product_id,invoice_id,payment_method,card_type,payment_gateway,amount,fee,tax,net_amount,ledger_amount,reconciliation_status,status,refund_amount,dispute_id,processing_time_seconds,batch_id,created_at,updated_at
2f78293e-21b1-4e24-ade5-57cf4f8969c6,2025-05-04 02:35:48,2025-05-09,5,C2051,M1047,Merchant_48,EMEA,UK,Transport,P115,INV62984,card,rupay,GatewayA,746.86,13.28,89.62,643.96,643.96,matched,success,0.0,,6,B1107,2025-05-04 01:37:17,2025-05-04 03:05:19
b7febfa9-89f1-42ab-84c5-53171aa48340,2025-05-05 13:54:32,2025-05-09,4,C2591,M1027,Merchant_28,EMEA,Germany,Transport,P112,INV78763,card,visa,GatewayA,89.65,1.71,0.0,87.94,87.94,matched,success,0.0,,140,B1095,2025-05-05 13:45:30,2025-05-05 14:08:37
cce22622-7262-4986-8941-ed4e78d05512,2025-08-14 14:29:48,2025-08-19,5,C2766,M1056,Merchant_57,AMER,United States,Travel,P140,INV99334,netbanking,,GatewayA,65.7,0.58,7.88,57.24,57.24,matched,success,0.0,,21,B1038,2025-08-14 14:03:34,2025-08-14 14:36:24
3c2717c4-7dcb-49b9-8b2d-0353a457de06,2025-08-23 22:39:14,2025-08-25,2,C2676,M1057,Merchant_58,AMER,Canada,Travel,P147,INV78483,card,visa,GatewayB,187.04,3.62,9.35,174.07,174.07,matched,success,0.0,,31,B1016,2025-08-23 21:57:51,2025-08-23 22:58:08
5b898d2b-dc3d-4f65-973f-13f31e5891f8,2025-04-03 03:05:56,2025-04-04,1,C2179,M1034,Merchant_35,EMEA,Germany,Accommodation,P162,INV88862,card,visa,GatewayA,56.15,1.31,2.81,52.03,52.03,matched,success,0.0,,84,B1014,2025-04-03 02:40:30,2025-04-03 03:17:14
2b736e57-6a76-49cf-8b4f-5e159582bceb,2025-08-21 12:10:56,2025-08-28,7,C2051,M1000,Merchant_1,AMER,United States,Travel,P137,INV65882,card,visa,GatewayA,131.63,2.8,0.0,128.83,128.83,matched,success,0.0,,6,B1041,2025-08-21 11:26:39,2025-08-21 12:18:02
be3f7bbd-159d-486c-88c4-f7e34f25c0f6,2025-08-15 11:47:11,2025-08-17,2,C2281,M1004,Merchant_5,APAC,Japan,Travel,P169,INV60891,card,amex,GatewayB,75.75,1.69,0.0,74.06,74.06,matched,success,0.0,,19,B1100,2025-08-15 11:27:38,2025-08-15 12:34:38
9aa12247-1e0e-4f3a-805b-8dcf6e4730a6,2025-05-21 02:18:40,2025-05-24,3,C2002,M1037,Merchant_38,EMEA,France,Accommodation,P144,INV83477,netbanking,,GatewayC,67.33,0.54,12.12,54.67,54.67,matched,success,0.0,,8,B1118,2025-05-21 02:13:27,2025-05-21 03:12:50
ddabb188-a65e-405c-bb0a-fe22eea4951a,2025-04-30 02:23:29,2025-05-05,5,C2304,M1032,Merchant_33,AMER,Canada,Food,P155,INV57860,wallet,,GatewayC,82.22,1.86,4.11,76.25,76.25,matched,success,0.0,,25,B1018,2025-04-30 01:39:33,2025-04-30 03:05:22
b50fa52b-4a6f-44af-a70a-54b8fc60d8fb,2025-04-05 22:18:37,2025-04-06,1,C2478,M1014,Merchant_15,AMER,Canada,Retail,P128,INV92907,card,amex,GatewayB,255.27,4.92,0.0,250.35,250.69,matched,success,0.0,,5,B1038,2025-04-05 21:28:51,2025-04-05 22:25:03
b89bd666-af9d-4451-8847-e343733c0710,2025-04-18 00:54:18,2025-04-21,3,C2682,M1028,Merchant_29,APAC,Singapore,Travel,P163,INV58983,card,amex,GatewayB,24.71,0.7,0.0,24.01,24.01,matched,success,0.0,,23,B1101,2025-04-18 00:13:57,2025-04-18 01:46:49
18a1952c-735e-4db9-9c6f-a71ae5bddb29,2025-06-01 21:49:21,2025-06-03,2,C2252,M1007,Merchant_8,APAC,Japan,Accommodation,P123,INV80428,card,mastercard,GatewayC,137.8,2.91,6.89,128.0,128.0,matched,success,0.0,,62,B1099,2025-06-01 21:36:46,2025-06-01 22:13:27
1282b61e-799c-4f86-b333-273b81b89cf2,2025-06-27 11:50:23,2025-06-30,3,C2231,M1038,Merchant_39,APAC,Japan,Travel,P116,INV80216,card,visa,GatewayA,66.88,1.71,0.0,65.17,65.17,matched,refunded,44.55,3c49a372-5330-4e05-b4da-6a9a9dcb2a6f,109,B1064,2025-06-27 11:27:06,2025-06-27 12:42:39
3ef97283-f809-4a83-a0e9-58c7cdd9c9ca,2025-04-25 15:12:46,2025-05-02,7,C2338,M1003,Merchant_4,AMER,Brazil,Retail,P167,INV64690,upi,,GatewayB,5.45,0.43,0.27,4.75,4.75,matched,success,0.0,,35,B1082,2025-04-25 15:03:42,2025-04-25 15:58:50
dc7c9352-9088-4959-a778-54e2c5fe0475,2025-07-09 15:37:07,2025-07-11,2,C2431,M1032,Merchant_33,AMER,Canada,Food,P162,INV83268,netbanking,,GatewayC,161.99,1.79,29.16,131.04,131.04,matched,success,0.0,,26,B1105,2025-07-09 15:01:44,2025-07-09 16:16:30
cee523ce-5994-4e5e-8156-f206e141fecc,2025-06-30 12:15:12,2025-07-01,1,C2744,M1047,Merchant_48,EMEA,UK,Transport,P177,INV71793,card,mastercard,GatewayB,26.17,0.68,0.0,25.49,25.49,matched,refunded,25.76,5f832860-9a7b-40c0-9eab-d84be4a65054,9,B1018,2025-06-30 12:05:51,2025-06-30 12:40:45
e0aefde7-351b-4dd2-abff-9a97e6260f91,2025-03-12 09:11:09,2025-03-17,5,C2522,M1005,Merchant_6,APAC,India,Accommodation,P120,INV75010,card,rupay,GatewayC,334.02,6.42,40.08,287.52,287.52,matched,success,0.0,,14,B1050,2025-03-12 08:22:27,2025-03-12 09:51:38
68e7d72d-5c89-4957-a8dc-a414cb4ee083,2025-04-22 02:41:04,2025-04-24,2,C2642,M1037,Merchant_38,EMEA,France,Accommodation,P176,INV67335,card,rupay,GatewayB,82.37,1.71,0.0,80.66,80.66,matched,success,0.0,,89,B1024,2025-04-22 01:54:11,2025-04-22 03:31:10
6fae6af1-9c64-45ae-82e7-7d3d99606426,2025-04-01 11:17:38,2025-04-02,1,C2702,M1055,Merchant_56,APAC,India,Accommodation,P162,INV89137,card,mastercard,GatewayC,72.81,1.42,8.74,62.65,62.65,matched,success,0.0,,42,B1014,2025-04-01 10:56:56,2025-04-01 12:13:26
16faa0fe-a38e-4837-b89b-de68d1396ee6,2025-08-29 02:48:28,2025-09-01,3,C2521,M1043,Merchant_44,EMEA,UK,Travel,P132,INV56242,upi,,GatewayC,79.86,0.81,0.0,79.05,79.05,matched,success,0.0,,76,B1013,2025-08-29 02:24:09,2025-08-29 02:52:44
ff7f15a7-7529-400b-8e68-10f9d2e405ff,2025-07-31 10:48:50,2025-08-03,3,C2624,M1032,Merchant_33,AMER,Canada,Food,P170,INV76521,netbanking,,GatewayA,7.15,0.08,0.86,6.21,6.21,matched,success,0.0,,81,B1099,2025-07-31 10:03:56,2025-07-31 11:04:57
3636def1-468e-4dd6-8c34-4400c5817520,2025-07-03 03:37:59,2025-07-07,4,C2666,M1052,Merchant_53,AMER,United States,Retail,P171,INV79602,card,rupay,GatewayA,90.55,1.69,4.53,84.33,84.33,matched,success,0.0,,81,B1072,2025-07-03 03:26:09,2025-07-03 04:32:26
6ddba1cc-aec6-4d0c-8332-118a02dbade3,2025-07-07 06:25:16,2025-07-12,5,C2282,M1038,Merchant_39,APAC,Japan,Travel,P124,INV67803,upi,,GatewayC,19.57,0.73,0.98,17.86,17.86,matched,success,0.0,,5,B1073,2025-07-07 06:05:40,2025-07-07 06:46:24
f2a0ef2f-b64b-463e-9da1-25ae31f9cb99,2025-08-30 23:04:46,2025-09-02,3,C2091,M1002,Merchant_3,APAC,Singapore,Travel,P117,INV85184,card,rupay,GatewayC,269.21,4.85,13.46,250.9,250.9,matched,success,0.0,,116,B1009,2025-08-30 22:15:31,2025-08-30 23:31:10
9f762fba-dc13-4b38-8d36-e6cbb0caf25a,2025-08-11 04:08:29,2025-08-15,4,C2042,M1012,Merchant_13,EMEA,UK,Transport,P109,INV52028,wallet,,GatewayC,61.78,1.54,3.09,57.15,57.15,matched,success,0.0,,35,B1000,2025-08-11 03:44:11,2025-08-11 04:35:57
6f4f59b1-b051-4942-95ae-705e5bbdbca6,2025-04-04 14:34:52,2025-04-11,7,C2375,M1049,Merchant_50,APAC,Australia,Retail,P122,INV98457,wallet,,GatewayC,254.31,5.62,30.52,218.17,218.17,matched,success,0.0,,42,B1042,2025-04-04 14:07:58,2025-04-04 15:33:12
